Cuenta;Nombre;Naturaleza;Tercero;Auxiliar;C. Costo
23653501;INTERESES Y RENDIMIENTOS FINANCIEROS 7% ;C;S;S;N
236540;COMPRAS GENERALES                       ;C;S;N;N
23654001;COMPRAS GENERALES (NO DECLARANTES) 3.5% ;5;S;S;N
23654002;COMPRAS GENERALES (DECLARANTES) 2.5%    ;C;S;S;N
23654003;COMPRA DE COMBUSTIBLE 0.15              ;C;S;S;N
23654004;COMPRAS NO DECLARANTES 3.5%             ;C;S;S;N
23654005;COMPRAS A REG. SIMPLE 0.625%            ;C;S;S;N
23654006;RETE FTE COMPRAS REG SIMPLE 1.25% (50% T;C;S;S;N
236565;POR IMPUESTO DE TIMBRE                  ;C;S;S;N
236570;OTRAS RETENCIONES Y PATRIMONIO          ;C;S;N;N
23657005;RENTAS DE TRABAJO                       ;C;S;S;N
236575;ANTICIPO AUTORRETENCION CREE 0.4        ;C;N;N;N
23657501;ANTICIPO AUTORRETENCION CREE 0.4 POR VEN;C;S;S;N
236598;RETENCION EN LA FUENTE POR PAGAR        ;C;N;N;S
23659805;PERIODO ACTUAL                          ;C;S;S;S
2367;IMPUESTO A LAS VENTAS RETENIDO          ;C;S;N;N
236701;COMPRAS                                 ;C;S;S;N
236702;SERVICIOS                               ;C;S;S;N
236703;ARRIENDOS                               ;C;S;S;N
2368;RETENCION POR ICA                       ;C;S;N;N
236801;RETE ICA COMPRAS DE MERCANCIAS NORMA ANT;C;S;S;N
236802;RETE ICA POR SERVICIOS NORMA ANTERIOR   ;C;S;S;N
236803;RETE ICA POR OTROS CONCEPTOS NORMA ANTER;C;S;S;N
236804;RETENCION DE ICA PRACTICADA NUEVA NORMA ;C;N;N;N
23680401;RETE ICA POR COMPRA DE MERCANCIA        ;C;N;N;N
2368040101;RETE ICA TARIFA 4.8 X 1000              ;C;S;S;N
2368040102;RETE ICA TARIFA 5 X 1000                ;C;S;S;N
2368040103;RETE ICA TARIFA 5.2 X 1000              ;C;S;S;N
2368040104;RETE ICA TARIFA 6 X 1000                ;C;S;S;N
2368040105;RETE ICA TARIFA 7 X 1000                ;C;S;S;N
2368040106;RETE ICA TARIFA 11.04 X 1000            ;C;S;S;N
2368040107;RETE ICA X COMPRAS 5.4 X 1000           ;C;S;S;N
2368040108;RETE ICA TARIFA 9 X 1000                ;C;S;S;N
2368040109;RETE ICA POR COMPRAS A TARIFA DEL 7.2 X ;C;S;S;S
2368040110;RETE ICA TARIFA 2.2X1000                ;C;S;S;N
23680402;RETE ICA POR SERVICIOS                  ;C;N;N;N
2368040201;RETE ICA POR SERVICIOS DEL 6X1000       ;C;S;S;N
2368040202;RETE ICA SERVICIOS TARIFA 7.2 X 1000    ;C;S;S;S
2368040203;RETE ICA POR SERVICIOS DEL 4X1000       ;C;S;S;S
2368040204;SERVICIOS 5.4 X 1000                    ;C;S;S;N
2368040205;SERICIOS 9 X 1000                       ;C;S;S;N
23680403;RETE ICA POR OTROS CONCEPTOS            ;C;N;N;N
2368040301;RETE ICA POR OTROS CONCEPTOS            ;C;S;S;N
23680404;OTROS CONCEPTOS                         ;C;N;N;N
2368040401;RETE ICA X AVISO Y TABLEROS (15%)       ;C;S;S;N
