Cuenta;Nombre;Naturaleza;Cta Mayor;Cta Activa;Nivel;Tercero;Auxiliar;C. Costo
2357;DEUDAS CON DIRECTOS                     ;C;23;S;2;S;N;N
2360;DIVIDENDOS O PARTICIPACIONES POR PAGAR  ;C;23;S;2;S;N;N
236010;PARTICIPACIONES                         ;C;2360;S;3;S;N;N
2365;RETENCION EN LA FUENTE                  ;C;23;S;2;S;N;N
236505;INGRESOS LABORALES                      ;C;2365;S;3;N;N;N
23650501;RETENCION POR SALARIOS                  ;C;236505;S;4;S;S;S
236515;HONORARIOS                              ;C;2365;S;3;S;N;N
23651501;HONORARIOS DECLARANTES 11%              ;C;236515;S;0;S;S;N
23651502;HONORARIOS NO DECLARANTES 10%           ;C;236515;S;0;S;S;N
236520;COMISIONES                              ;C;2365;S;3;S;N;N
23652001;COMISIONES DECLARANTES 11%              ;C;236520;S;0;S;S;N
23652002;COMISIONES NO DECLARANTES 10%           ;C;236520;S;0;S;S;N
236525;SERVICIOS                               ;C;2365;S;3;S;N;N
23652501;SERVICIOS DECLARANTES 4%                ;C;236525;S;4;S;S;N
23652502;SERVICIOS NO DECLARANTES 6%             ;C;236525;S;0;S;S;N
23652503;FLETES Y ACARREOS 1%                    ;C;236525;S;4;S;S;N
23652504;SERVICIOS TEMPORALES 2%                 ;C;236525;S;4;S;S;N
23652505;SERVICIO X CONTRATO DE CONSTRUCCION Y OB;C;236525;S;4;S;S;N
23652506;PUENTE                                  ;C;236525;S;4;S;S;N
23652507;SERVICIO X DISE�O PAGINA WEB            ;C;236525;S;4;S;S;N
236530;ARRENDAMIENTOS                          ;C;2365;S;3;S;N;N
23653001;ARRENDAMIENTOS DE BIENES MUEBLES 4%     ;C;236530;S;0;S;S;N
23653002;ARRENDAMIENTO DE BIENES INMUEBLES 3.5%  ;C;236530;S;0;S;S;N
236535;INTERESES Y R.F                         ;C;2365;S;0;S;N;N
23653501;INTERESES Y RENDIMIENTOS FINANCIEROS 7% ;C;236535;S;0;S;S;N
236540;COMPRAS GENERALES                       ;C;2365;S;3;S;N;N
23654001;COMPRAS GENERALES (NO DECLARANTES) 3.5% ;C;236540;S;4;S;S;N
23654002;COMPRAS GENERALES (DECLARANTES) 2.5%    ;C;236540;S;0;S;S;N
23654003;COMPRA DE COMBUSTIBLE 0.1%              ;C;236540;S;4;S;S;N
23654004;COMPRAS NO DECLARANTES 3.5%             ;C;236540;S;4;S;S;N
23654005;COMPRAS A REG. SIMPLE 0.625%            ;C;236540;S;4;S;S;N
23654006;RETE FTE COMPRAS REG SIMPLE 1.25% (50% T;C;236540;S;4;S;S;N
236565;POR IMPUESTO DE TIMBRE                  ;C;2365;S;3;S;S;N
236570;OTRAS RETENCIONES                       ;C;2365;S;3;S;N;N
23657005;RENTAS DE TRABAJO                       ;C;236570;S;4;S;S;N
236575;ANTICIPO AUTORRETENCION CREE 0.4        ;C;2365;S;3;N;N;N
23657501;ANTICIPO AUTORRETENCION CREE 0.4 POR VEN;C;236575;S;4;S;S;N
236598;RETENCION EN LA FUENTE POR PAGAR        ;C;2365;S;3;N;N;S
23659805;PERIODO ACTUAL                          ;C;236598;S;4;S;S;S
2367;IMPUESTO A LAS VENTAS RETENIDO          ;C;23;S;0;S;N;N
236701;COMPRAS                                 ;C;2367;S;0;S;S;N
236702;SERVICIOS                               ;C;2367;S;0;S;S;N
236703;ARRIENDOS                               ;C;2367;S;0;S;S;N
2368;RETENCION POR ICA                       ;C;23;S;0;S;N;N
236801;RETE ICA COMPRAS DE MERCANCIAS NORMA ANT;C;2368;S;0;S;S;N
236802;RETE ICA POR SERVICIOS NORMA ANTERIOR   ;C;2368;S;0;S;S;N
236803;RETE ICA POR OTROS CONCEPTOS NORMA ANTER;C;2368;S;0;S;S;N
236804;RETENCION DE ICA PRACTICADA NUEVA NORMA ;C;2368;S;3;N;N;N
23680401;RETE ICA POR COMPRA DE MERCANCIA        ;C;236804;S;4;N;N;N
2368040101;RETE ICA TARIFA 4.8 X 1000              ;C;23680401;S;5;S;S;N
2368040102;RETE ICA TARIFA 5 X 1000                ;C;23680401;S;5;S;S;N
2368040103;RETE ICA TARIFA 5.2 X 1000              ;C;23680401;S;5;S;S;N
2368040104;RETE ICA TARIFA 6 X 1000                ;C;23680401;S;5;S;S;N
2368040105;RETE ICA TARIFA 7 X 1000                ;C;23680401;S;5;S;S;N
2368040106;RETE ICA TARIFA 11.04 X 1000            ;C;23680401;S;5;S;S;N
2368040107;RETE ICA X COMPRAS 5.4 X 1000           ;C;23680401;S;5;S;S;N
2368040108;RETE ICA TARIFA 9 X 1000                ;C;23680401;S;5;S;S;N
2368040109;RETE ICA POR COMPRAS A TARIFA DEL 7.2 X ;C;23680401;S;5;S;S;S
2368040110;RETE ICA TARIFA 2.2X1000                ;C;23680401;S;5;S;S;N
23680402;RETE ICA POR SERVICIOS                  ;C;236804;S;4;N;N;N
2368040201;RETE ICA POR SERVICIOS DEL 6X1000       ;C;23680402;S;5;S;S;N
2368040202;RETE ICA SERVICIOS TARIFA 7.2 X 1000    ;C;23680402;S;5;S;S;N
2368040203;RETE ICA POR SERVICIOS DEL 4X1000       ;C;23680402;S;5;S;S;S
2368040204;SERVICIOS 5.4 X 1000                    ;C;23680402;S;5;S;S;N
2368040205;SERICIOS 9 X 1000                       ;C;23680402;S;5;S;S;N
23680403;RETE ICA POR OTROS CONCEPTOS            ;C;236804;S;4;N;N;N
2368040301;RETE ICA POR OTROS CONCEPTOS            ;C;23680403;S;5;S;S;N
23680404;OTROS CONCEPTOS                         ;C;236804;S;4;N;N;N
2368040401;RETE ICA X AVISO Y TABLEROS (15%)       ;C;23680404;S;5;S;S;N
2368040402;RETE ICA X SOBRETASA BOMBERIL (10%)     ;C;23680404;S;5;S;S;N
23680410;RETE ICA TARIFA 2.2X1000                ;C;236804;S;4;S;S;N
236805;AUTORRETENCION DE ICA                   ;C;2368;S;3;N;N;N
23680501;AUTORRETENCION X VENTAS (4,8X1000)      ;C;236805;S;4;N;N;N
2368050101;AUTORETEICA TARIFA GENERAL 4,8X1000     ;C;23680501;S;5;S;S;N
2368050102;AUTORETEICA X AVISO Y TABLEROS (15%)    ;C;23680501;S;5;S;S;N
2368050103;AUTORETEICA X SOBRETASA BOMBERIL (10%)  ;C;23680501;S;5;S;S;N
2370;RETENCIONES Y APORTES DE NOMINA         ;C;23;S;2;S;N;N
237005;ENTIDADES PROMOTORAS DE SALUD           ;C;2370;S;3;S;N;N
23700502;EMPLEADO (4%)                           ;C;237005;S;0;S;S;N
237006;RIESGOS LABORALES                       ;C;2370;S;3;S;N;N
23700601;RIESGOS LABORALES SURA (EMPLEADOR)      ;C;237006;S;0;S;S;N
237010;APORTES A PARAFISCALES (EMPLEADOR)      ;C;2370;S;3;S;N;N
23701001;ICBF                                    ;C;237010;S;0;S;S;N
